Rank,Release Group,Worldwide,Domestic,%,Foreign,%
599,The Bedside Detective,"$2,341,122",-,-,"$2,341,122",100%
600,Venus and Mars,"$2,316,750",-,-,"$2,316,750",100%
601,La torre de Suso,"$2,302,645",-,-,"$2,302,645",100%
602,True Enough,"$2,298,620",-,-,"$2,298,620",100%
603,Cashback,"$2,294,291","$25,343",1.1%,"$2,268,948",98.9%
604,Paris Lockdown,"$2,294,286",-,-,"$2,294,286",100%
605,His Majesty Minor,"$2,290,505",-,-,"$2,290,505",100%
606,Wonderful and Loved by All,"$2,290,326",-,-,"$2,290,326",100%
607,Playing Solo,"$2,289,936",-,-,"$2,289,936",100%
608,The Art of Crying,"$2,277,494",-,-,"$2,277,494",100%
609,Messy Christmas,"$2,276,834",-,-,"$2,276,834",100%
610,The Substitute,"$2,276,515",-,-,"$2,276,515",100%
611,Naraka 19,"$2,275,844",-,-,"$2,275,844",100%
612,The Sun Also Rises,"$2,273,426",-,-,"$2,273,426",100%
613,Rainbow Eyes,"$2,272,550",-,-,"$2,272,550",100%
614,Flying Lessons,"$2,270,431",-,-,"$2,270,431",100%
615,Zoo Rangers in South America,"$2,268,069",-,-,"$2,268,069",100%
616,Pars: Operation Cherry,"$2,265,733",-,-,"$2,265,733",100%
617,The Lost Treasure of the Knights Templar II,"$2,261,685",-,-,"$2,261,685",100%
618,Who Says It's Easy?,"$2,254,513",-,-,"$2,254,513",100%
619,Americans at the Black Sea,"$2,243,249",-,-,"$2,243,249",100%
620,Ranczo Wilkowyje,"$2,240,641",-,-,"$2,240,641",100%
621,"Romulus, My Father","$2,234,889","$4,283",0.2%,"$2,230,606",99.8%
622,La tête de maman,"$2,233,664",-,-,"$2,233,664",100%
623,Live!,"$2,228,368",-,-,"$2,228,368",100%
624,My 11th Mother,"$2,220,581",-,-,"$2,220,581",100%
625,Blade Runner The Final Cut (2007 re-release),"$2,217,175","$1,548,502",69.8%,"$668,673",30.2%
626,Contract Lover,"$2,208,332",-,-,"$2,208,332",100%
627,Hansel and Gretel,"$2,206,625",-,-,"$2,206,625",100%
628,I Hate My Best Friends' Kids,"$2,205,645",-,-,"$2,205,645",100%
629,A Bee in August,"$2,187,900",-,-,"$2,187,900",100%
630,Monica's Gang in an Adventure in Time,"$2,186,657",-,-,"$2,186,657",100%
631,Musallat,"$2,170,188",-,-,"$2,170,188",100%
632,Rudy: The Return of the Racing Pig,"$2,168,224",-,-,"$2,168,224",100%
633,In the Shadow of the Moon,"$2,161,369","$1,134,358",52.5%,"$1,027,011",47.5%
634,Mad Detective,"$2,160,790","$4,629",0.2%,"$2,156,161",99.8%
635,Konservy,"$2,157,711",-,-,"$2,157,711",100%
636,Troe i Snezhinka,"$2,155,999",-,-,"$2,155,999",100%
637,The Detective,"$2,151,820",-,-,"$2,151,820",100%
638,Hallam Foe,"$2,149,799","$60,641",2.8%,"$2,089,158",97.2%
639,Last Love,"$2,137,598",-,-,"$2,137,598",100%
640,Body,"$2,129,523",-,-,"$2,129,523",100%
641,First Time Godfather,"$2,125,309",-,-,"$2,125,309",100%
642,Timboektoe,"$2,121,971",-,-,"$2,121,971",100%
643,Two Sides of Love,"$2,120,207",-,-,"$2,120,207",100%
644,Don't Look Back,"$2,116,879",-,-,"$2,116,879",100%
645,Plop en de pinguïn,"$2,113,392",-,-,"$2,113,392",100%
646,Seance,"$2,111,595",-,-,"$2,111,595",100%
647,Cañitas. Presencia,"$2,108,511",-,-,"$2,108,511",100%
648,Chaotic Ana,"$2,104,037",-,-,"$2,104,037",100%
649,V2: Dead Angel,"$2,093,170",-,-,"$2,093,170",100%
650,Ganes,"$2,067,094",-,-,"$2,067,094",100%
651,Mataharis,"$2,065,030",-,-,"$2,065,030",100%
652,"Talk, Talk, Talk","$2,051,484",-,-,"$2,051,484",100%
653,Two Times Lotte,"$2,043,793",-,-,"$2,043,793",100%
654,Promise Me This,"$2,043,351",-,-,"$2,043,351",100%
655,Seu-ka-woo-teu,"$2,038,401",-,-,"$2,038,401",100%
656,Big Bang,"$2,036,601",-,-,"$2,036,601",100%
657,Happily Ever After,"$2,036,253",-,-,"$2,036,253",100%
658,El club de los suicidas,"$2,017,741",-,-,"$2,017,741",100%
659,Blinkers,"$2,016,242",-,-,"$2,016,242",100%
660,Just Follow Law,"$2,011,669",-,-,"$2,011,669",100%
661,Atasco en la nacional,"$2,008,201",-,-,"$2,008,201",100%
662,Ekipo Ja,"$2,006,521",-,-,"$2,006,521",100%
663,Introducing the Dwights,"$2,003,304","$379,408",18.9%,"$1,623,896",81.1%
664,The Kovak Box,"$1,997,182",-,-,"$1,997,182",100%
665,"Gandhi, My Father","$1,983,906","$242,967",12.2%,"$1,740,939",87.8%
666,Missing Persons Unit,"$1,981,961",-,-,"$1,981,961",100%
667,Three Monkeys,"$1,977,780","$41,343",2.1%,"$1,936,437",97.9%
668,Broken English,"$1,944,150","$956,919",49.2%,"$987,231",50.8%
669,Radio Corazón,"$1,941,625",-,-,"$1,941,625",100%
670,Rosa: The Movie,"$1,940,300",-,-,"$1,940,300",100%
671,One Million Yen and the Nigamushi Woman,"$1,936,638",-,-,"$1,936,638",100%
672,Magicians,"$1,927,101",-,-,"$1,927,101",100%
673,Hattrick,"$1,911,270","$24,502",1.3%,"$1,886,768",98.7%
674,Am Limit,"$1,909,568","$18,254",1%,"$1,891,314",99%
675,All the Boys Love Mandy Lane,"$1,904,640",-,-,"$1,904,640",100%
676,Skeletons in the Closet,"$1,889,755",-,-,"$1,889,755",100%
677,Simply Actors,"$1,887,228",-,-,"$1,887,228",100%
678,Free Rainer,"$1,874,060",-,-,"$1,874,060",100%
679,Love Is Not All Around,"$1,871,025",-,-,"$1,871,025",100%
680,Arctic Tale,"$1,864,636","$833,532",44.7%,"$1,031,104",55.3%
681,Happy Birthday,"$1,859,094",-,-,"$1,859,094",100%
682,Storm Bound,"$1,859,065",-,-,"$1,859,065",100%
683,Meet Mr. Daddy,"$1,841,084",-,-,"$1,841,084",100%
684,"You, the Living","$1,840,899","$21,438",1.2%,"$1,819,461",98.8%
685,The Last Mistress,"$1,831,577","$785,671",42.9%,"$1,045,906",57.1%
686,Unrest,"$1,823,328",-,-,"$1,823,328",100%
687,Eye in the Sky,"$1,820,318",-,-,"$1,820,318",100%
688,"Ernst, Bobbie en de geslepen Onix","$1,813,252",-,-,"$1,813,252",100%
689,Boogeyman 2,"$1,798,418",-,-,"$1,798,418",100%
690,Slow Burn,"$1,797,256","$1,237,615",68.9%,"$559,641",31.1%
691,Václav,"$1,788,194",-,-,"$1,788,194",100%
692,The Perfect World of Kai,"$1,784,981",-,-,"$1,784,981",100%
693,Reservation Road,"$1,783,226","$121,994",6.8%,"$1,661,232",93.2%
694,O'Horten,"$1,778,791","$302,232",17%,"$1,476,559",83%
695,The House,"$1,772,821",-,-,"$1,772,821",100%
696,U Pana Boga w ogródku,"$1,765,708",-,-,"$1,765,708",100%
697,Du bist nicht allein,"$1,764,376",-,-,"$1,764,376",100%
698,Voices 2007 Re-release,"$1,760,707",-,-,"$1,760,707",100%
699,Ma-Mha See Kha Krab,"$1,759,455",-,-,"$1,759,455",100%
700,Firmin,"$1,757,609",-,-,"$1,757,609",100%
701,Pledge This!,"$1,751,490",-,-,"$1,751,490",100%
702,Ang cute ng ina mo!,"$1,730,110",-,-,"$1,730,110",100%
703,Garfield Gets Real,"$1,726,453",-,-,"$1,726,453",100%
704,The Sword of Alexander,"$1,723,861",-,-,"$1,723,861",100%
705,Getting Home,"$1,713,445",-,-,"$1,713,445",100%
706,Karla's World,"$1,711,260",-,-,"$1,711,260",100%
707,One Out of Two,"$1,698,848",-,-,"$1,698,848",100%
708,Siete mesas de billar francés,"$1,693,814",-,-,"$1,693,814",100%
709,Let's Steal Together,"$1,676,554",-,-,"$1,676,554",100%
710,O Homem Que Desafiou o Diabo,"$1,668,347",-,-,"$1,668,347",100%
711,Sharkwater,"$1,658,393","$850,920",51.3%,"$807,473",48.7%
712,"Très bien, merci","$1,643,228",-,-,"$1,643,228",100%
713,Catcher: Cat City 2,"$1,637,191",-,-,"$1,637,191",100%
714,Mavi Gözlü Dev,"$1,625,202",-,-,"$1,625,202",100%
715,Pacchigi! Love & Peace,"$1,620,779",-,-,"$1,620,779",100%
716,Mars & Venus,"$1,616,880",-,-,"$1,616,880",100%
717,Black Friday,"$1,610,897","$35,000",2.2%,"$1,575,897",97.8%
718,The Odd Couple,"$1,610,129",-,-,"$1,610,129",100%
719,Call Girl,"$1,610,085",-,-,"$1,610,085",100%
720,Year of the Dog,"$1,606,237","$1,540,141",95.9%,"$66,096",4.1%
721,Nocturna,"$1,602,190",-,-,"$1,602,190",100%
722,Bad Habits,"$1,600,509",-,-,"$1,600,509",100%
723,"Lola, la película","$1,598,612",-,-,"$1,598,612",100%
724,Black Ice,"$1,597,117",-,-,"$1,597,117",100%
725,The Age of Man,"$1,594,364",-,-,"$1,594,364",100%
726,Antidur,"$1,590,355",-,-,"$1,590,355",100%
727,First Love,"$1,583,867",-,-,"$1,583,867",100%
728,Bra Boys,"$1,582,036","$155,056",9.8%,"$1,426,980",90.2%
729,The Old Garden,"$1,577,570",-,-,"$1,577,570",100%
730,Dead Daughters,"$1,577,440",-,-,"$1,577,440",100%
731,The Hideout,"$1,570,806",-,-,"$1,570,806",100%
732,Puras joyitas,"$1,570,604",-,-,"$1,570,604",100%
733,Les ambitieux,"$1,570,287",-,-,"$1,570,287",100%
734,Haunting Me,"$1,569,231",-,-,"$1,569,231",100%
735,Nanking,"$1,566,248","$161,182",10.3%,"$1,405,066",89.7%
736,The Lark Farm,"$1,563,640",-,-,"$1,563,640",100%
737,Hooked on You,"$1,558,343",-,-,"$1,558,343",100%
738,A Dream House Nightmare,"$1,554,077",-,-,"$1,554,077",100%
739,The Night Buffalo,"$1,553,198",-,-,"$1,553,198",100%
740,Call for Love,"$1,547,449",-,-,"$1,547,449",100%
741,Teen Spirit,"$1,546,466",-,-,"$1,546,466",100%
742,Cinnamoroll: The Movie,"$1,533,301",-,-,"$1,533,301",100%
743,Blonde Ambition,"$1,530,479","$6,422",0.4%,"$1,524,057",99.6%
744,Paano kita iibigin,"$1,522,736",-,-,"$1,522,736",100%
745,"Ó Pai, Ó: Look at This","$1,519,302",-,-,"$1,519,302",100%
746,20 Cigarettes,"$1,516,417",-,-,"$1,516,417",100%
747,The Matrimony,"$1,501,707",-,-,"$1,501,707",100%
748,Vice,"$1,500,171",-,-,"$1,500,171",100%
749,Varg Veum - Bitre blomster,"$1,496,024",-,-,"$1,496,024",100%
750,Scorpion,"$1,495,647",-,-,"$1,495,647",100%
751,The Right Distance,"$1,495,120",-,-,"$1,495,120",100%
752,Under the Stars,"$1,494,730",-,-,"$1,494,730",100%
753,The Black Madonna,"$1,490,180",-,-,"$1,490,180",100%
754,U Pana Boga za miedza,"$1,484,629",-,-,"$1,484,629",100%
755,Tri dnya v Odesse,"$1,482,879",-,-,"$1,482,879",100%
756,Fist of the North Star: The Legend of Yuria,"$1,479,911",-,-,"$1,479,911",100%
757,Il dolce e l'amaro,"$1,474,257",-,-,"$1,474,257",100%
758,Night Bus,"$1,473,810",-,-,"$1,473,810",100%
759,Razzle Dazzle: A Journey Into Dance,"$1,466,077",-,-,"$1,466,077",100%
760,In Love with the Dead,"$1,462,405",-,-,"$1,462,405",100%
761,Svein og Rotta og UFO-mysteriet,"$1,458,761",-,-,"$1,458,761",100%
762,Trade,"$1,455,890","$214,307",14.7%,"$1,241,583",85.3%
763,Interview,"$1,455,393","$416,951",28.6%,"$1,038,442",71.4%
764,Welcome to the Quiet Room,"$1,453,240",-,-,"$1,453,240",100%
765,House of Fury 2007 Re-release,"$1,448,560",-,-,"$1,448,560",100%
766,Full Metal Village,"$1,448,428",-,-,"$1,448,428",100%
767,Trivial,"$1,447,065",-,-,"$1,447,065",100%
768,La santa muerte,"$1,441,483",-,-,"$1,441,483",100%
769,Closing the Ring,"$1,438,942",-,-,"$1,438,942",100%
770,No End in Sight,"$1,433,319","$1,433,319",100%,-,-
771,Savage Grace,"$1,432,799","$435,746",30.4%,"$997,053",69.6%
772,Mermaid,"$1,431,983",-,-,"$1,431,983",100%
773,Thr3e,"$1,420,418","$1,008,849",71%,"$411,569",29%
774,Risk,"$1,416,813",-,-,"$1,416,813",100%
775,La señal,"$1,412,974",-,-,"$1,412,974",100%
776,Rak haeng Siam,"$1,405,711",-,-,"$1,405,711",100%
777,13 segundos,"$1,404,294",-,-,"$1,404,294",100%
778,Gabriel,"$1,395,610",-,-,"$1,395,610",100%
779,Cherche fiancé tous frais payés,"$1,395,289",-,-,"$1,395,289",100%
780,Sum seung si sing,"$1,379,416",-,-,"$1,379,416",100%
781,Corrupção,"$1,364,024",-,-,"$1,364,024",100%
782,Beck: Den svaga länken,"$1,357,257",-,-,"$1,357,257",100%
783,Griffin & Phoenix,"$1,355,967",-,-,"$1,355,967",100%
784,Lost in Beijing,"$1,350,967","$11,163",0.8%,"$1,339,804",99.2%
785,Scrivilo sui muri,"$1,349,071",-,-,"$1,349,071",100%
786,El pasado,"$1,348,323",-,-,"$1,348,323",100%
787,A Tale of Two Mozzies,"$1,347,927",-,-,"$1,347,927",100%
788,With Your Permission,"$1,342,964",-,-,"$1,342,964",100%
789,Flight of the Red Balloon,"$1,335,987","$461,674",34.6%,"$874,313",65.4%
790,Forest of Death,"$1,318,601",-,-,"$1,318,601",100%
791,Kya Love Story Hai,"$1,312,529",-,-,"$1,312,529",100%
792,Khoya Khoya Chand,"$1,312,468",-,-,"$1,312,468",100%
793,Thieves,"$1,312,386",-,-,"$1,312,386",100%
794,Laban the Little Ghost 2007 Re-release,"$1,307,531",-,-,"$1,307,531",100%
795,An American Crime,"$1,306,875",-,-,"$1,306,875",100%
796,Concrete Romance,"$1,300,564",-,-,"$1,300,564",100%
797,Four in One,"$1,299,625",-,-,"$1,299,625",100%
798,Eagle vs Shark,"$1,298,037","$221,846",17.1%,"$1,076,191",82.9%
799,Rich Kids,"$1,297,532",-,-,"$1,297,532",100%
800,Femme Fatal,"$1,292,306",-,-,"$1,292,306",100%
801,Buddha Mar Gaya,"$1,284,490","$18,528",1.4%,"$1,265,962",98.6%
802,"Yunagi City, Sakura Country","$1,279,172",-,-,"$1,279,172",100%
803,Soo: Revenge for a Twisted Fate,"$1,275,162",-,-,"$1,275,162",100%
804,Tricks,"$1,272,126",-,-,"$1,272,126",100%
805,In Bar,"$1,261,116",-,-,"$1,261,116",100%
806,The Flying Scotsman,"$1,260,553","$171,817",13.6%,"$1,088,736",86.4%
807,A Virgin Grandmother,"$1,256,116",-,-,"$1,256,116",100%
808,La soledad,"$1,254,864",-,-,"$1,254,864",100%
809,Final Contract: Death on Delivery,"$1,249,280",-,-,"$1,249,280",100%
810,Jean de La Fontaine,"$1,248,041",-,-,"$1,248,041",100%
811,Muoi: The Legend of a Portrait,"$1,245,621",-,-,"$1,245,621",100%
812,The Train: Some Lines Should Never Be Crossed...,"$1,244,710",-,-,"$1,244,710",100%
813,Big Brother,"$1,242,834",-,-,"$1,242,834",100%
814,Andaleeb El Dokki,"$1,242,705",-,-,"$1,242,705",100%
815,Dangerous Game 2007 Re-release,"$1,237,539",-,-,"$1,237,539",100%
816,"Gomez & Tavarès, la suite","$1,233,262",-,-,"$1,233,262",100%
817,Bestiár,"$1,232,583",-,-,"$1,232,583",100%
818,Sex and Death 101,"$1,229,330","$23,624",1.9%,"$1,205,706",98.1%
819,Ganoujet Bayya,"$1,228,634",-,-,"$1,228,634",100%
820,Seraphim Falls,"$1,220,058","$418,296",34.3%,"$801,762",65.7%
821,Roming,"$1,218,251",-,-,"$1,218,251",100%
822,Just Married: Marriage Was Only the Beginning!,"$1,216,528",-,-,"$1,216,528",100%
823,Nehlle Pe Dehlla,"$1,214,808",-,-,"$1,214,808",100%
824,Xuxa em Sonho de Menina,"$1,214,211",-,-,"$1,214,211",100%
825,Police,"$1,213,576",-,-,"$1,213,576",100%
826,Darling,"$1,206,498",-,-,"$1,206,498",100%
827,Beautiful Sunday,"$1,203,727",-,-,"$1,203,727",100%
828,It Had to be You,"$1,200,416",-,-,"$1,200,416",100%
829,Animals in Love,"$1,196,841",-,-,"$1,196,841",100%
830,Cool,"$1,196,470",-,-,"$1,196,470",100%
831,Joe Strummer: The Future Is Unwritten,"$1,193,491","$248,362",20.8%,"$945,129",79.2%
832,Chrysalis,"$1,189,133",-,-,"$1,189,133",100%
833,Opapatika,"$1,186,582",-,-,"$1,186,582",100%
834,Love Life,"$1,186,250",-,-,"$1,186,250",100%
835,The Violin,"$1,186,247","$65,298",5.5%,"$1,120,949",94.5%
836,December Boys,"$1,175,579","$50,715",4.3%,"$1,124,864",95.7%
837,In Country Melody,"$1,172,614",-,-,"$1,172,614",100%
838,Rooster's Breakfast,"$1,170,579",-,-,"$1,170,579",100%
839,Vexille,"$1,170,351","$3,259",0.3%,"$1,167,092",99.7%
840,Bong ga,"$1,164,985",-,-,"$1,164,985",100%
841,The Final Season,"$1,159,691","$1,159,691",100%,-,-
842,Nevalyashka,"$1,151,127",-,-,"$1,151,127",100%
843,The Pope's Toilet,"$1,129,663",-,-,"$1,129,663",100%
844,Rud i Sem,"$1,123,874",-,-,"$1,123,874",100%
845,Waiting for Someone,"$1,123,665",-,-,"$1,123,665",100%
846,Morgan Ahmed Morgan,"$1,116,944",-,-,"$1,116,944",100%
847,Fraude: México 2006,"$1,115,939","$3,637",0.3%,"$1,112,302",99.7%
848,Johnny Gaddaar,"$1,109,943",-,-,"$1,109,943",100%
849,Otai,"$1,102,592",-,-,"$1,102,592",100%
850,Caixa Dois,"$1,099,975",-,-,"$1,099,975",100%
851,Kill Buljo: The Movie,"$1,098,618",-,-,"$1,098,618",100%
852,Room of Death,"$1,096,683",-,-,"$1,096,683",100%
853,Terror's Advocate,"$1,086,656","$47,724",4.4%,"$1,038,932",95.6%
854,Tutte le donne della mia vita,"$1,084,921",-,-,"$1,084,921",100%
855,Grace Is Gone,"$1,080,022","$50,899",4.7%,"$1,029,123",95.3%
856,September Dawn,"$1,066,555","$1,066,555",100%,-,-
857,La reine soleil,"$1,065,754",-,-,"$1,065,754",100%
858,Voce del verbo amore,"$1,062,488",-,-,"$1,062,488",100%
859,Me... Myself,"$1,054,666",-,-,"$1,054,666",100%
860,The Ten Commandments,"$1,051,907","$952,820",90.6%,"$99,087",9.4%
861,Room 205,"$1,051,440",-,-,"$1,051,440",100%
862,Projekt Gold - Eine deutsche Handball-WM,"$1,051,031",-,-,"$1,051,031",100%
863,The Invitation from Cinema Orion,"$1,049,356",-,-,"$1,049,356",100%
864,King of California,"$1,045,786","$268,461",25.7%,"$777,325",74.3%
865,A Perfect Match,"$1,044,138",-,-,"$1,044,138",100%
866,The Dream Is Alive,"$1,044,068",-,-,"$1,044,068",100%
867,Azhagiya Tamilmagan,"$1,043,064",-,-,"$1,043,064",100%
868,One Eye Red,"$1,040,529",-,-,"$1,040,529",100%
869,The Brothers Solomon,"$1,035,056","$900,926",87%,"$134,130",13%
870,Sunday Light,"$1,032,535",-,-,"$1,032,535",100%
871,Asylum 2007 Re-release,"$1,031,543",-,-,"$1,031,543",100%
872,The Bubble,"$1,029,926","$157,121",15.3%,"$872,805",84.7%
873,Fragile(s),"$1,029,194",-,-,"$1,029,194",100%
874,Yellow Tears,"$1,028,387",-,-,"$1,028,387",100%
875,Ma tante Aline,"$1,025,852","$1,025,852",100%,-,-
876,Ángeles S.A.,"$1,016,516",-,-,"$1,016,516",100%
877,"Piano, solo","$1,013,525",-,-,"$1,013,525",100%
878,O kadin,"$1,012,764",-,-,"$1,012,764",100%
879,Perfect Creature,"$1,012,639",-,-,"$1,012,639",100%
880,The Three Cripples,"$1,011,396",-,-,"$1,011,396",100%
881,Cow-Boy,"$1,006,618",-,-,"$1,006,618",100%
882,Yella,"$999,588","$30,647",3.1%,"$968,941",96.9%
883,Avrupali,"$986,837",-,-,"$986,837",100%
884,Project Makeover,"$986,264",-,-,"$986,264",100%
885,The 11th Hour,"$985,207","$707,343",71.8%,"$277,864",28.2%
886,The Duchess of Langeais,"$982,795","$282,749",28.8%,"$700,046",71.2%
887,Vel,"$981,694",-,-,"$981,694",100%
888,The Totenwackers,"$980,818",-,-,"$980,818",100%
889,Fermat's Room,"$979,921",-,-,"$979,921",100%
890,Garage,"$972,491",-,-,"$972,491",100%
891,Papelucho y el marciano,"$969,819",-,-,"$969,819",100%
892,¿Y tú quién eres?,"$967,997",-,-,"$967,997",100%
893,Billa,"$963,960",-,-,"$963,960",100%
894,Nina Frisk,"$962,698",-,-,"$962,698",100%
895,Eight Miles High,"$957,744","$2,616",0.3%,"$955,128",99.7%
896,Touch the Sky,"$956,569",-,-,"$956,569",100%
897,Marigold,"$953,308",-,-,"$953,308",100%
898,Paprika,"$944,915","$882,267",93.4%,"$62,648",6.6%
899,Gray Matters,"$944,479","$71,561",7.6%,"$872,918",92.4%
900,The Secret,"$943,117",-,-,"$943,117",100%
901,The Longest Night in Shanghai,"$927,252",-,-,"$927,252",100%
902,Kamen Rider: The Next,"$925,808",-,-,"$925,808",100%
903,Axis of War: The First of August,"$924,252",-,-,"$924,252",100%
904,Fighter,"$919,445",-,-,"$919,445",100%
905,Mr. Cinema,"$918,916",-,-,"$918,916",100%
906,Bullet Fist,"$912,678",-,-,"$912,678",100%
907,Jellyfish,"$910,314","$341,221",37.5%,"$569,093",62.5%
908,Konbai the Movie,"$910,258",-,-,"$910,258",100%
909,Beyond the Years,"$902,591",-,-,"$902,591",100%
910,The Postmodern Life of My Aunt,"$900,679",-,-,"$900,679",100%
911,Starting Out in the Evening,"$898,786","$898,786",100%,-,-
912,Theresa: The Body of Christ,"$898,401",-,-,"$898,401",100%
913,Red: The Dark Side,"$895,066",-,-,"$895,066",100%
914,The Border,"$891,526",-,-,"$891,526",100%
915,Artistka,"$887,397",-,-,"$887,397",100%
916,Bombay to Goa,"$886,685",-,-,"$886,685",100%
917,Like Minds,"$883,340",-,-,"$883,340",100%
918,After Dark's Horrorfest 2,"$874,635","$874,635",100%,-,-
919,The Girl Who Leapt Through Time,"$873,435",-,-,"$873,435",100%
920,Deux vies... plus une,"$858,807",-,-,"$858,807",100%
921,Sarah Landon and the Paranormal Hour,"$858,415","$858,415",100%,-,-
922,Che Kopete: La Película,"$854,243",-,-,"$854,243",100%
923,Bitter Sweetheart,"$854,171",-,-,"$854,171",100%
924,Silent Light,"$851,621","$60,200",7.1%,"$791,421",92.9%
925,Dungeons & Dragons: Wrath of the Dragon God 2007 Re-release,"$844,397",-,-,"$844,397",100%
926,Alone with Her,"$844,377","$10,787",1.3%,"$833,590",98.7%
927,Blind Dating,"$834,457","$90,560",10.9%,"$743,897",89.1%
928,I've Fallen for You,"$833,011",-,-,"$833,011",100%
929,Mi fido di te,"$830,828",-,-,"$830,828",100%
930,Armaments All Style,"$826,710",-,-,"$826,710",100%
931,Pornorama,"$820,751",-,-,"$820,751",100%
932,Bis zum Ellenbogen,"$815,303",-,-,"$815,303",100%
933,Ya ostayus,"$814,790",-,-,"$814,790",100%
934,Two Stupid Eggs,"$813,559",-,-,"$813,559",100%
935,African Adventure: Safari in the Okavango,"$811,654",-,-,"$811,654",100%
936,In Memory of Me,"$802,651",-,-,"$802,651",100%
937,Omar Wa Salma,"$800,328",-,-,"$800,328",100%
938,Odna lyubov na million,"$800,248",-,-,"$800,248",100%
939,No Smoking,"$797,693",-,-,"$797,693",100%
940,Yes Sir,"$797,162",-,-,"$797,162",100%
941,Anna M.,"$796,466",-,-,"$796,466",100%
942,Cecilie,"$796,205",-,-,"$796,205",100%
943,The Heart of the Earth,"$796,163",-,-,"$796,163",100%
944,Twins Mission,"$793,102",-,-,"$793,102",100%
945,Santa vs. the Snowman 3D 2007 Re-release,"$792,252","$769,405",97.1%,"$22,847",2.9%
946,Inside,"$792,184",-,-,"$792,184",100%
947,The King of Kong: A Fistful of Quarters,"$790,128","$677,914",85.8%,"$112,214",14.2%
948,"Dolphin blue: Fuji, mou ichido sora e","$787,778",-,-,"$787,778",100%
949,La face cachée,"$786,630",-,-,"$786,630",100%
950,Drained,"$786,460",-,-,"$786,460",100%
951,The Ten,"$785,528","$769,726",98%,"$15,802",2%
952,Redacted,"$782,102","$65,388",8.4%,"$716,714",91.6%
953,Am Ende kommen Touristen,"$780,635",-,-,"$780,635",100%
954,Barah Aana,"$778,918",-,-,"$778,918",100%
955,Romantik,"$777,367",-,-,"$777,367",100%
956,Dil Dosti Etc,"$774,219",-,-,"$774,219",100%
957,South Bound,"$773,910",-,-,"$773,910",100%
958,"Basic Sanitation, the Movie","$773,669",-,-,"$773,669",100%
959,Breakout,"$771,065",-,-,"$771,065",100%
960,Noise,"$769,311",-,-,"$769,311",100%
961,Nana Tanjung 2,"$766,393",-,-,"$766,393",100%
962,Rocket Science,"$759,676","$714,943",94.1%,"$44,733",5.9%
963,How About You,"$754,184","$78,234",10.4%,"$675,950",89.6%
964,Dorks & Damsels,"$751,338",-,-,"$751,338",100%
965,Black Family,"$750,808",-,-,"$750,808",100%
966,Mother Never Dies,"$750,219",-,-,"$750,219",100%
967,The Bandage Club,"$749,276",-,-,"$749,276",100%
968,Jar City,"$748,405",-,-,"$748,405",100%
969,Life's Speed Bump,"$743,476",-,-,"$743,476",100%
970,Power Rangers Magic Force & Treasure Force,"$742,565",-,-,"$742,565",100%
971,Return of Hanuman,"$742,290",-,-,"$742,290",100%
972,Prinzessinnenbad,"$741,812",-,-,"$741,812",100%
973,Tell,"$739,449",-,-,"$739,449",100%
974,Doogal 2007 Re-release,"$738,265",-,-,"$738,265",100%
975,Final Score,"$737,533",-,-,"$737,533",100%
976,Darling,"$736,383",-,-,"$736,383",100%
977,Kiki's Delivery Service 2007 Re-release,"$734,052",-,-,"$734,052",100%
978,Zombies from Banana Village,"$730,223",-,-,"$730,223",100%
979,Pasukob,"$729,276",-,-,"$729,276",100%
980,Ming Ming,"$728,756",-,-,"$728,756",100%
981,Dean Spanley,"$728,645",-,-,"$728,645",100%
982,Apartment 1303,"$726,960",-,-,"$726,960",100%
983,Ciao Bella,"$725,567",-,-,"$725,567",100%
984,Little Girl Blue,"$721,328",-,-,"$721,328",100%
985,Joshua,"$719,968","$482,355",67%,"$237,613",33%
986,The Door,"$708,717",-,-,"$708,717",100%
987,The Black Pimpernel,"$704,740",-,-,"$704,740",100%
988,"Isidoro, la película","$704,680",-,-,"$704,680",100%
989,Outsourced,"$703,324","$163,561",23.3%,"$539,763",76.7%
990,Bullet and Brain,"$699,248",-,-,"$699,248",100%
991,Ek Chalis Ki Last Local,"$698,960",-,-,"$698,960",100%
992,Christmas in Wonderland,"$694,509",$689,<0.1%,"$693,820",99.9%
993,Spider Lilies,"$693,052",-,-,"$693,052",100%
994,Heartbeat Detector,"$692,575","$5,309",0.8%,"$687,266",99.2%
995,Mama's Boy,"$688,145",-,-,"$688,145",100%
996,Never Forever,"$687,229","$14,485",2.1%,"$672,744",97.9%
997,Just Like Home,"$683,801",-,-,"$683,801",100%
998,"Maradona, the Hand of God","$680,687",-,-,"$680,687",100%
999,Timber Falls,"$680,299",-,-,"$680,299",100%
"1,000",Super Fans,"$669,106",-,-,"$669,106",100%
"1,001",Kaafila,"$668,543",-,-,"$668,543",100%
"1,002",The Matriarch,"$667,849",-,-,"$667,849",100%
"1,003",My Mexican Shivah,"$666,553","$13,042",2%,"$653,511",98%
"1,004","Don't Waste Your Time, Johnny!","$664,266",-,-,"$664,266",100%
"1,005",Delirious,"$659,589","$86,460",13.1%,"$573,129",86.9%
"1,006",The Wind Blows Round,"$659,151",-,-,"$659,151",100%
"1,007",Elka,"$655,024",-,-,"$655,024",100%
"1,008",Journey from the Fall,"$648,483","$641,039",98.9%,"$7,444",1.1%
