Rank,Release Group,Worldwide,Domestic,%,Foreign,%
368,Noah's Ark,"$6,837,093",-,-,"$6,837,093",100%
369,Flawless,"$6,819,587","$1,200,234",17.6%,"$5,619,353",82.4%
370,Eiga de tôjô! Tamagotchi dokidoki! Uchû no maigotchi?!,"$6,784,907",-,-,"$6,784,907",100%
371,Aaja Nachle,"$6,773,493","$484,108",7.1%,"$6,289,385",92.9%
372,Bubble Fiction: Boom or Bust,"$6,746,800",-,-,"$6,746,800",100%
373,Jacquou le croquant,"$6,700,780",-,-,"$6,700,780",100%
374,The Show Must Go On,"$6,670,532",-,-,"$6,670,532",100%
375,My Love,"$6,660,413",-,-,"$6,660,413",100%
376,It's a Free World...,"$6,645,036",-,-,"$6,645,036",100%
377,Invisible Target,"$6,599,143",-,-,"$6,599,143",100%
378,1612: Khroniki smutnogo vremeni,"$6,555,121",-,-,"$6,555,121",100%
379,Survivre avec les loups,"$6,532,677",-,-,"$6,532,677",100%
380,Midnight Eagle,"$6,522,186","$7,116",0.1%,"$6,515,070",99.9%
381,Feel the Noise,"$6,451,106","$5,898,393",91.4%,"$552,713",8.6%
382,"The Mafia, the Salesman","$6,396,451",-,-,"$6,396,451",100%
383,Love and Other Disasters,"$6,369,805",-,-,"$6,369,805",100%
384,Goodbye Bafana,"$6,317,170",-,-,"$6,317,170",100%
385,Life in a Metro,"$6,316,418","$150,212",2.4%,"$6,166,206",97.6%
386,Blood and Chocolate,"$6,311,117","$3,526,847",55.9%,"$2,784,270",44.1%
387,The Haunted Samurai,"$6,288,195",-,-,"$6,288,195",100%
388,L'invité,"$6,261,773",-,-,"$6,261,773",100%
389,Milan Palermo - The Return,"$6,252,197",-,-,"$6,252,197",100%
390,Sakuran,"$6,247,539",-,-,"$6,247,539",100%
391,Have Mercy on Us All,"$6,189,879",-,-,"$6,189,879",100%
392,Flash Point,"$6,177,725","$5,151",<0.1%,"$6,172,574",99.9%
393,Election Day,"$6,149,746",-,-,"$6,149,746",100%
394,My Father,"$6,063,158",-,-,"$6,063,158",100%
395,Go West: A Lucky Luke Adventure,"$6,041,435",-,-,"$6,041,435",100%
396,Trick or Treaters,"$5,878,372",-,-,"$5,878,372",100%
397,Sivaji,"$5,871,620",-,-,"$5,871,620",100%
398,The Serpent,"$5,836,641",-,-,"$5,836,641",100%
399,The Perfect Holiday,"$5,812,781","$5,812,781",100%,-,-
400,The Last Ottoman: Knockout Ali,"$5,803,454",-,-,"$5,803,454",100%
401,Feast of Love,"$5,741,608","$3,511,074",61.2%,"$2,230,534",38.8%
402,Hands off Mississippi,"$5,735,240",-,-,"$5,735,240",100%
403,Master Kim vs Master Kim vs Master Kim,"$5,731,770",-,-,"$5,731,770",100%
