Rank,Release Group,Worldwide,Domestic,%,Foreign,%
1,"Hi, Mom","$821,845,153",-,-,"$821,845,153",100%
2,Detective Chinatown 3,"$686,257,563",-,-,"$686,257,563",100%
3,Godzilla vs. Kong,"$343,485,427","$74,885,427",21.8%,"$268,600,000",78.2%
4,A Writer's Odyssey,"$149,506,203","$110,779",<0.1%,"$149,395,424",99.9%
5,Tom and Jerry,"$100,287,341","$41,487,341",41.4%,"$58,800,000",58.6%
6,Raya and the Last Dragon,"$94,227,991","$36,245,610",38.5%,"$57,982,381",61.5%
7,Endgame,"$91,815,762","$23,149",<0.1%,"$91,792,613",100%
8,Boonie Bears: The Wild Life,"$77,725,611",-,-,"$77,725,611",100%
9,Sister,"$73,600,000",-,-,"$73,600,000",100%
10,Evangelion: 3.0+1.0 Thrice Upon a Time,"$67,714,450",-,-,"$67,714,450",100%
11,Avatar 2021 Re-release,"$56,409,747",-,-,"$56,409,747",100%
12,Nezha Reborn,"$56,088,478",-,-,"$56,088,478",100%
13,The Yinyang Master,"$37,690,000",-,-,"$37,690,000",100%
14,I Fell in Love Like A Flower Bouquet,"$33,012,458",-,-,"$33,012,458",100%
15,Big Red Envelope,"$32,800,000",-,-,"$32,800,000",100%
16,Nobody,"$32,502,045","$19,131,045",58.9%,"$13,371,000",41.1%
17,The Little Things,"$29,764,683","$15,164,683",50.9%,"$14,600,000",49.1%
18,Master,"$28,692,230",-,-,"$28,692,230",100%
19,The Last Warrior: Root of Evil,"$28,338,091",-,-,"$28,338,091",100%
20,The Marksman,"$21,879,969","$15,264,002",69.8%,"$6,615,967",30.2%
21,Chaos Walking,"$21,374,908","$12,774,908",59.8%,"$8,600,000",40.2%
22,Wish Dragon,"$21,120,000",-,-,"$21,120,000",100%
23,Gintama: The Final,"$16,971,401",-,-,"$16,971,401",100%
24,Bo Gia,"$16,749,021",-,-,"$16,749,021",100%
25,The Dry,"$16,733,693",-,-,"$16,733,693",100%
26,Upon the Magic Roads,"$13,284,522",-,-,"$13,284,522",100%
27,Vakeel Saab,"$13,001,745",-,-,"$13,001,745",100%
28,Monkey King Reborn,"$13,000,000",-,-,"$13,000,000",100%
29,Minari,"$10,735,974","$2,151,855",20%,"$8,584,119",80%
30,Mortal Kombat,"$10,700,000",-,-,"$10,700,000",100%
31,Krack,"$10,442,916",-,-,"$10,442,916",100%
32,Meitantei Conan: Hiiro no fuzai shômei,"$10,308,627",-,-,"$10,308,627",100%
33,Peter Rabbit 2,"$10,200,000",-,-,"$10,200,000",100%
34,Ji hun,"$9,600,000",-,-,"$9,600,000",100%
35,"Caution, Hazardous Wife: The Movie","$9,072,317",-,-,"$9,072,317",100%
36,The Eleventh Chapter,"$8,825,128",-,-,"$8,825,128",100%
37,The Unholy,"$7,950,550","$7,502,733",94.4%,"$447,817",5.6%
38,The Courier,"$7,908,213","$5,085,901",64.3%,"$2,822,312",35.7%
39,Judas and the Black Messiah,"$6,000,022","$5,295,022",88.3%,"$705,000",11.7%
